DrugMaster_ID	SourceSystem_Code	Drug_Code	DrugMaster_Code	Drug_Description	AltDrug_Description	OriginalDrug_Description	Universal_Code	GenericDrugType_Code	Schedule_Code	Manufacturer_Name	GenNHS_Code	Form_Code	Strength_Code	Generic_Name	PackSize_Qty	Type_Code	Class_Code	PBS_Code	PackMultiplier_Number	OverridePackSize_Qty	Processed	AutoDMC_Code	FailureType_Code	Created_DateTime	LastUpdate_DateTime	Mapped_DateTime	PBSItemValid	Column 28
NULL	ZDISPENSE	43BA4B0A-1E3C-4C5B-9D15-C1CA74A268FD	!UNMAPPED	PHCY CARE GLUCOS 1500 TAB 200	PHCY CARE GLUCOS 1500 TAB 200	PHCY CARE GLUCOS 1500 TAB 200	9341571004013	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4483F4BE-8FC0-41BE-A864-B02951F3EA88	!UNMAPPED	FISHERMANS FRIEND ORG X/STRG 2	FISHERMANS FRIEND ORG X/STRG 2	FISHERMANS FRIEND ORG X/STRG 2	50357161	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	44997038-D842-4FF8-B848-8C53483EBEAB	!UNMAPPED	CLAIROL H/ESS COND COL ME HA (3)	CLAIROL H/ESS COND COL ME HA (3)	CLAIROL H/ESS COND COL ME HA (3)	4902430118668	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4507D111-2756-4EB1-9682-8DD238782506	!UNMAPPED	ETH NUT ZINC MAINTAIN 60 TABS	ETH NUT ZINC MAINTAIN 60 TABS	ETH NUT ZINC MAINTAIN 60 TABS	9342320032646	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4516FD26-A4F8-481F-B995-7252D90BAD2C	!UNMAPPED	JILA MINTS S/FREE	JILA MINTS S/FREE	JILA MINTS S/FREE	9320668843001	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	45C523E7-ACEF-4F4F-9715-B0BB0CC604CF	!UNMAPPED	CLONIDINE	CLONIDINE CAPSULES 5MCG	CLONIDINE	NULL	NULL	NULL	NULL	NULL	CAPSULES	5MCG	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	46301233-17F5-44EC-AD32-86A163396C2B	!UNMAPPED	LIGNOCAINE 2%CHL.05% 10ML 10'S	LIGNOCAINE 2%CHL.05% 10ML 10'S	LIGNOCAINE 2%CHL.05% 10ML 10'S	9316795006402	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	475C28F8-7FC0-4C17-91E1-3DDC44C35534	!UNMAPPED	FUTURO ABDOMEN BRACE MED	FUTURO ABDOMEN BRACE MED	FUTURO ABDOMEN BRACE MED	51131200944	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	47DE9D02-ACA6-479C-B47D-2F65A960C44F	!UNMAPPED	DVA. DAA 6 MONTH 99647N	DVA. DAA 6 MONTH 99647N	DVA. DAA 6 MONTH 99647N	79440	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4878DAE9-F334-47FA-9437-B92D4726BDE6	!UNMAPPED	CADBURY FREDDO STRAWBERRY 15G	CADBURY FREDDO STRAWBERRY 15G	CADBURY FREDDO STRAWBERRY 15G	93617475	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	48DA9FB5-F9F4-42AF-9DF9-8C082BEB1703	!UNMAPPED	LANSOPRAZOLE SUSP 2MG/ML100ML	LANSOPRAZOLE SUSP 2MG/ML100ML	LANSOPRAZOLE SUSP 2MG/ML100ML	929804	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	48DDD8B0-9014-4E29-8F5E-4B21E16E6CDF	!UNMAPPED	SUGARLESS LOLLIES	SUGARLESS LOLLIES	SUGARLESS LOLLIES	9312643000417	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	48ECB88E-CC37-4206-9BE9-8106AC8DB88B	!UNMAPPED	IN/ESS PEPPERMINT 9ML	IN/ESS PEPPERMINT 9ML	IN/ESS PEPPERMINT 9ML	9319359107591	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	492D6A02-F598-4A21-8FC2-ED49DF51760F	!UNMAPPED	URSODIOL	URSODIOL SUSPENSION 50MG/ML	URSODIOL	NULL	NULL	NULL	NULL	NULL	SUSPENSION	50MG/ML	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	49512356-E113-419B-90DD-8D408AB3C9C3	!UNMAPPED	PC STRG PAIN RLF CPLT 48	PC STRG PAIN RLF CPLT 48	PC STRG PAIN RLF CPLT 48	9316100901200	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4A95266F-ED10-4092-9FD7-3A0ADA04D55B	!UNMAPPED	ORAL B EBS17-2 PRC CLN XSFT SENS2PK	ORAL B EBS17-2 PRC CLN XSFT SENS2PK	ORAL B EBS17-2 PRC CLN XSFT SENS2PK	4210201746447	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4B0F5084-896D-4ADD-AC4C-9EF5BD06B860	!UNMAPPED	NEUTROGENA T/GEL COND 130ML (3)	NEUTROGENA T/GEL COND 130ML (3)	NEUTROGENA T/GEL COND 130ML (3)	70501892718	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4B2DC620-0421-4A0F-A42A-0DFF985C756C	!UNMAPPED	EYESTREAM	EYESTREAM SOLN EX 120ML	EYESTREAM	9317046223319	NULL	NULL	NULL	NULL	SOLN EX	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4B306493-4F76-4680-9BF4-DA413CC7E527	!UNMAPPED	CUSS M/FRESH ECO DWL LEMLIM400MLX12	CUSS M/FRESH ECO DWL LEMLIM400MLX12	CUSS M/FRESH ECO DWL LEMLIM400MLX12	9300615055879	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4B8B33F3-E34F-4FE2-826F-101A16F43632	!UNMAPPED	INTERFERON ALFA-2B (2 MILL UNITS/ML) EYE DROPS 3ML	INTERFERON ALFA-2B (2 MILL UNITS/ML) EYE DROPS 3ML	INTERFERON ALFA-2B (2 MILL UNITS/ML) EYE DROPS 3ML	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4C369135-82E5-476D-A8EA-8C4E6F14FEF5	!UNMAPPED	LISTERINE ANTISEPTIC 1LTR	LISTERINE ANTISEPTIC 1LTR	LISTERINE ANTISEPTIC 1LTR	9310059207994	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4C5BC0A6-D533-4D7B-8A98-302F83416466	!UNMAPPED	BD MICROFINE PEN/N 5MM BX100	BD MICROFINE PEN/N 5MM BX100	BD MICROFINE PEN/N 5MM BX100	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4CD793AC-B700-4CFD-915D-88200B82B22E	!UNMAPPED	PHCY CARE NRT GUM 2MG MINT 96	PHCY CARE NRT GUM 2MG MINT 96	PHCY CARE NRT GUM 2MG MINT 96	9341571009568	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4CE13530-56BB-46E0-A29A-1EF2BB2FB26B	!UNMAPPED	MYESSENTIAL TBR MED X12 NS	MYESSENTIAL TBR MED X12 NS	MYESSENTIAL TBR MED X12 NS	9316100660220	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4CF445BE-7935-45A5-9865-BF0E8AFA2AA1	!UNMAPPED	URSODEOXYCHOLIC ACID	URSODEOXYCHOLIC ACID CAPSULES 150MG	URSODEOXYCHOLIC ACID	NULL	NULL	NULL	NULL	NULL	CAPSULES	150MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4F15573C-7B4D-4E52-B02B-B34F89B2F4FA	!UNMAPPED	VM BLOOMS VITAMIN D3 1000IU 60	VM BLOOMS VITAMIN D3 1000IU 60	VM BLOOMS VITAMIN D3 1000IU 60	93512046	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4F2D2EB4-5640-4E0E-B20C-D972FEA4BBD3	!UNMAPPED	THERAFIRM UNISEX KH STK CLS2 C/T SAND LG	THERAFIRM UNISEX KH STK CLS2 C/T SAND LG	THERAFIRM UNISEX KH STK CLS2 C/T SAND LG	721734751142	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4F439AE6-6BEC-4AE1-BBDA-150BD6615E0D	!UNMAPPED	OMRON MC246 DIG THERM	OMRON MC246 DIG THERM	OMRON MC246 DIG THERM	4975479494437	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4F4688E9-9607-4E53-8CE7-47DAC0EEA474	!UNMAPPED	VIT D3 1TAB	VIT D3 1TAB	VIT D3 1TAB	37644	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4F532E7F-EC6B-4DD0-A044-1112A0ACFBAA	!UNMAPPED	G/CROSS-METHYL-SAL-OINT BP 100G 1	G/CROSS-METHYL-SAL-OINT BP 100G 1	G/CROSS-METHYL-SAL-OINT BP 100G 1	20733155	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	50E7E2A4-D66E-4650-95A0-3D2EC39E7716	!UNMAPPED	MITCHUM A/P RON SPRT 50ML	MITCHUM A/P RON SPRT 50ML	MITCHUM A/P RON SPRT 50ML	309975122268	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	50E92FAD-F1A5-4878-84B0-B1E30754AA91	!UNMAPPED	CARERS CERTIFICATE	CARERS CERTIFICATE	CARERS CERTIFICATE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	511BDF42-8D99-496F-960F-7A1318AC3CD9	!UNMAPPED	WELLA P/SR REP COND 750ML	WELLA P/SR REP COND 750ML	WELLA P/SR REP COND 750ML	4056800997169	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	512CF432-F4DF-41D0-90F3-350FA150A90E	!UNMAPPED	ROSUVASTATIN AMNEAL	ROSUVASTATIN AMNEAL TABLETS 40MG	ROSUVASTATIN AMNEAL	9346697006330	NULL	NULL	EF	NULL	TABLETS	40MG	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5142389F-190F-4167-804F-391052EBA8C1	!UNMAPPED	LPC8%/SAL AC6% IN SORB CRM	LPC8%/SAL AC6% IN SORB CRM	LPC8%/SAL AC6% IN SORB CRM	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	51601667-A438-4CCC-987E-A9940CCC7D96	!UNMAPPED	NO 1823 HI STRENGTH DEF C TAB 60	NO 1823 HI STRENGTH DEF C TAB 60	NO 1823 HI STRENGTH DEF C TAB 60	9316090018230	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	516E02CF-6E05-4ECE-913B-FAFDDFAF7692	!UNMAPPED	CRANBERRY ULTRA 10,000 CAPS 90`S	CRANBERRY ULTRA 10,000 CAPS 90`S	CRANBERRY ULTRA 10,000 CAPS 90`S	9323857000896	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5215DD4E-A2F7-4830-A85F-29991E488ED4	!UNMAPPED	CLOZOLE 50G	CLOZOLE 50G	CLOZOLE 50G	9316360116840	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5270BB97-2C83-4A0B-B26C-BE0479C196B2	!UNMAPPED	NUTRACEUTICAL	NUTRACEUTICAL CAPSULES MR 588 FULL-STR	NUTRACEUTICAL	NULL	NULL	NULL	NULL	NULL	CAPSULES MR	588	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	52903F87-67A3-486E-A3A7-6C9AC4BA691A	!UNMAPPED	MAYNE PHARMA ASPIRIN 100MG TAB 112	MAYNE PHARMA ASPIRIN 100MG TAB	MAYNE PHARMA ASPIRIN 100MG TAB 112	9334820000096	NULL	NULL	YT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	52CBAE91-5AA7-4A5C-ADF4-E7CA7ECDC1F2	!UNMAPPED	GILLETTE MACH 3 BLUE DISP 3PK	GILLETTE MACH 3 BLUE DISP 3PK	GILLETTE MACH 3 BLUE DISP 3PK	7702018996421	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	53331DDA-1E88-4CAD-A8D8-28A956115BA8	!UNMAPPED	DOVE SPOO HT INTNSV REP 320ML	DOVE SPOO HT INTNSV REP 320ML	DOVE SPOO HT INTNSV REP 320ML	8851932348317	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	53415145-DCFD-4150-967C-648D832698F2	!UNMAPPED	TESTOSTERONE	TESTOSTERONE CREAM 14%	TESTOSTERONE	NULL	NULL	NULL	NULL	NULL	CREAM	14%	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	538B3549-91D1-4273-9BCD-5431F38E2580	!UNMAPPED	PANTO HEARTBURN RELIEF 20MG TAB 14	PANTO HEARTBURN RELIEF 20MG TAB 14	PANTO HEARTBURN RELIEF 20MG TAB 14	9341571005355	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5396E1F7-8E14-4C52-8B2E-DB5EBF20DE83	!UNMAPPED	NO VITAMIN B12 1000 MCG 60  (239)	NO VITAMIN B12 1000 MCG 60  (239)	NO VITAMIN B12 1000 MCG 60  (239)	9316090023906	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	53F0B4EF-077F-492B-AAFF-A953F6420EBA	!UNMAPPED	ROSUVASTATIN ACTAVIS 20MG TAB 30	ROSUVASTATIN ACTAVIS 20MG TAB 30	ROSUVASTATIN ACTAVIS 20MG TAB 30	9336666006683	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	544084C6-0241-41EC-AA01-62EAD0355B7E	!UNMAPPED	PRIORIX VACCINE 0.5ML PFS	PRIORIX VACCINE 0.5ML PFS	PRIORIX VACCINE 0.5ML PFS	9322147013592	NULL	NULL	GK	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	54AC632F-8C93-4285-ABA6-3684E8FF276F	!UNMAPPED	CADBURY CARAMELLO KOALA GIANT	CADBURY CARAMELLO KOALA GIANT	CADBURY CARAMELLO KOALA GIANT	9300617333388	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	55411215-AF1A-4879-B581-5ADB206B93B2	!UNMAPPED	FAULDING OSTEO PAINRLF E/STRG TAB30	FAULDING OSTEO PAINRLF E/STRG TAB30	FAULDING OSTEO PAINRLF E/STRG TAB30	9316100700674	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	55685951-A4D2-4327-BCE4-ABA1853AE16A	!UNMAPPED	YOU ME&E/BODY PAW PAW OINT 2	YOU ME&E/BODY PAW PAW OINT 2	YOU ME&E/BODY PAW PAW OINT 2	9316100908513	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	55857746-D0C5-4351-AD86-71539966BDA5	!UNMAPPED	PHCY CARE O/LESS FISH CAP 200	PHCY CARE O/LESS FISH CAP 200	PHCY CARE O/LESS FISH CAP 200	9341571003962	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	55997408-3120-431F-AB25-76FC43E9FD70	!UNMAPPED	CARBOPLATIN DBL	CARBOPLATIN DBL INFUSION 450MG/45ML	CARBOPLATIN DBL	9313109168511	NULL	NULL	HH	NULL	INFUSION	450MG/45ML	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	577BA051-D335-443C-84B0-25872881ABBC	!UNMAPPED	NO TRIPLE STRN COLD + FLU 100TABS(738)	NO TRIPLE STRN COLD + FLU 100TABS(738)	NO TRIPLE STRN COLD + FLU 100TABS(738)	9316090018353	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	582A1B1B-F287-426C-9FC1-5D7ED30639C3	!UNMAPPED	PHCY CARE VIT D CAP 200	PHCY CARE VIT D CAP 200	PHCY CARE VIT D CAP 200	9341571004006	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	587E5309-7D07-4A3F-B395-65569765883B	!UNMAPPED	ANTICOL THROAT SFT 23 LOZ BX24	ANTICOL THROAT SFT 23 LOZ BX24	ANTICOL THROAT SFT 23 LOZ BX24	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	58980DC5-2A0C-4E6F-A56B-4499CAB0BFB4	!UNMAPPED	PC DIARRHOEA RLF CAP 8 NF	PC DIARRHOEA RLF CAP 8 NF	PC DIARRHOEA RLF CAP 8 NF	9316100028761	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	59751BE8-5C40-4151-8B6D-D0958D0DB241	!UNMAPPED	SOAP BOX	SOAP BOX	SOAP BOX	9312061200062	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	59BA8060-8250-4AE6-AE55-0BAB9B375AD7	!UNMAPPED	MYESSENTIAL DENTALFLOSS PICK	MYESSENTIAL DENTALFLOSS PICK	MYESSENTIAL DENTALFLOSS PICK	9316100701862	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	59C94453-A56D-441E-950A-C422B0AFB87F	!UNMAPPED	MICROLIFE BP 3AP1-3E BP MONITOR	MICROLIFE BP 3AP1-3E BP MONITOR	MICROLIFE BP 3AP1-3E BP MONITOR	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	59CA87B4-6B35-417B-B4E5-466B64D3411D	!UNMAPPED	VOLTAREN TAB  50MG BLST 50	VOLTAREN TAB  50MG BLST 50	VOLTAREN TAB  50MG BLST 50	9319099001456	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5A757D55-AD49-4D04-811C-C9AAB634ADFE	!UNMAPPED	LOREAL ELVIVE FIBRALOGY THICK COND	LOREAL ELVIVE FIBRALOGY THICK COND	LOREAL ELVIVE FIBRALOGY THICK COND	3600522500162	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5B150C50-EC50-4AA4-98DB-B54F01EA4298	!UNMAPPED	PHCY CARE PARACODEINE 500/10MG TAB 20	PHCY CARE PARACODEINE 500/10MG TAB 20	PHCY CARE PARACODEINE 500/10MG TAB 20	9341571005485	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5B37DC87-AC0D-4024-A512-9B455F2AD0F0	!UNMAPPED	CAREFREE BREATH LINERS F&W20	CAREFREE BREATH LINERS F&W20	CAREFREE BREATH LINERS F&W20	9300607540581	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5BE48304-B1B7-46D0-B4FF-5556A2F9BB46	!UNMAPPED	PHCY CARE PAW PAW OINT 25G	PHCY CARE PAW PAW OINT 25G	PHCY CARE PAW PAW OINT 25G	9341571009407	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5C09797C-53DD-49F8-A9F3-DE33DDBA7666	!UNMAPPED	BLUE STRATOS AFTER SHAVE LOTION	BLUE STRATOS AFTER SHAVE LOTION	BLUE STRATOS AFTER SHAVE LOTION	5030147446121	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5C79682D-FF09-46CE-9F66-4242720054DD	!UNMAPPED	SCW EX/CARE S/POO ULTIMATE R	SCW EX/CARE S/POO ULTIMATE R	SCW EX/CARE S/POO ULTIMATE R	9310714211403	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5CB4E961-A9E2-4038-8BBE-C9513E4BFF82	!UNMAPPED	SENNA-COL (PHARMACY CARE) TABLETS 50/8MG 200	SENNA-COL (PHARMACY CARE) TAB 50/8MG	SENNA-COL (PHARMACY CARE) TABLETS 50/8MG 200	9341571009117	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
